timestamp, name, driver_version, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2024/04/19 14:58:27.534, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 36, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:27.535, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 33, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:27.537, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 29, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:27.538, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 30, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:29.540, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 35, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:29.541, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 34, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:29.542, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 29, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:29.543, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 30, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:31.544, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 35, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:31.545, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 33, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:31.546, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 29, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:31.547, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 30, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:33.548, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 35, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:33.549, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 33, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:33.550, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 29, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:33.551, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 30, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:35.552, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 35, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:35.552, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 33, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:35.553, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 29, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:35.554, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 30, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:37.555, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 35, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:37.556, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 33, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:37.557, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 29, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:37.558, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 30, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:39.559, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 35, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:39.560, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 33, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:39.561, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 29, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:39.562, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 30, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:41.563, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 35, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:41.564, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 33, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:41.565, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 29, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:41.565, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 30, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:43.566, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 35, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:43.567, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 33, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:43.568, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 29, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:43.569, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 30, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:45.570, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 35, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:45.571, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 33, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:45.572, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 29, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:45.573, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 30, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:47.574, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 35, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:47.575, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 33, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:47.576, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 29, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:47.577, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 30, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:49.578, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 35, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:49.579, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 33, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:49.579, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 29, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:49.580, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 30, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:51.581, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 35, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:51.582, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 33, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:51.583, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 29, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
2024/04/19 14:58:51.584, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 30, 0 %, 0 %, 11264 MiB, 11005 MiB, 6 MiB
