=====================================================================
 SLURM_JOB_ID        = 41408
 SLURM_NODE          = gpic11
 SLURM_JOB_PARTITION = gpi.compute
 You can monitor your Job here: 
 https://dash.tsc.upc.edu:3000/d/ediwvcrdqru9sf/slurm-job-details?orgId=1&var-partition=gpi&var-user=joan.manel.cardenas&var-slurmjobid_id=41408&from=now-24h&to=now
=====================================================================
Number of samples in the test set: 1723
Test Loss: 1.2710319216604586, Test MAE: 2.610750385449256
Real Age: 67.4800033569336, Predicted Age: 69.99
Real Age: 49.560001373291016, Predicted Age: 53.02
Real Age: 70.31999969482422, Predicted Age: 69.69
Real Age: 64.62000274658203, Predicted Age: 62.5
Real Age: 57.560001373291016, Predicted Age: 60.57
Real Age: 67.70999908447266, Predicted Age: 62.09
Real Age: 74.01000213623047, Predicted Age: 73.25
Real Age: 69.19000244140625, Predicted Age: 70.33
Real Age: 63.56999969482422, Predicted Age: 60.03
Real Age: 73.54000091552734, Predicted Age: 70.74
Real Age: 61.130001068115234, Predicted Age: 57.61
Real Age: 68.20999908447266, Predicted Age: 71.73
Real Age: 73.91999816894531, Predicted Age: 73.66
Real Age: 67.5, Predicted Age: 67.07
Real Age: 56.400001525878906, Predicted Age: 52.13
Real Age: 58.08000183105469, Predicted Age: 53.31
Real Age: 64.62999725341797, Predicted Age: 63.53
Real Age: 51.970001220703125, Predicted Age: 54.07
Real Age: 63.90999984741211, Predicted Age: 65.39
Real Age: 66.11000061035156, Predicted Age: 66.14
Real Age: 58.45000076293945, Predicted Age: 62.16
Real Age: 61.54999923706055, Predicted Age: 56.55
Real Age: 51.150001525878906, Predicted Age: 52.26
Real Age: 66.16999816894531, Predicted Age: 72.23
Real Age: 66.45999908447266, Predicted Age: 66.64
Real Age: 59.16999816894531, Predicted Age: 61.31
Real Age: 67.16000366210938, Predicted Age: 71.2
Real Age: 63.779998779296875, Predicted Age: 62.95
Real Age: 67.62999725341797, Predicted Age: 70.43
Real Age: 71.30000305175781, Predicted Age: 70.48
Real Age: 63.90999984741211, Predicted Age: 66.27
Real Age: 67.91000366210938, Predicted Age: 67.77
Real Age: 67.55000305175781, Predicted Age: 69.97
Real Age: 66.12999725341797, Predicted Age: 61.66
Real Age: 71.86000061035156, Predicted Age: 67.56
Real Age: 74.16000366210938, Predicted Age: 71.84
Real Age: 54.9900016784668, Predicted Age: 56.13
Real Age: 67.19000244140625, Predicted Age: 71.44
Real Age: 72.61000061035156, Predicted Age: 69.42
Real Age: 68.69999694824219, Predicted Age: 68.39
Real Age: 57.70000076293945, Predicted Age: 57.54
Real Age: 57.04999923706055, Predicted Age: 59.85
Real Age: 68.0199966430664, Predicted Age: 64.49
Real Age: 48.189998626708984, Predicted Age: 51.57
Real Age: 70.4800033569336, Predicted Age: 68.24
Real Age: 59.40999984741211, Predicted Age: 58.8
Real Age: 65.43000030517578, Predicted Age: 70.1
Real Age: 63.97999954223633, Predicted Age: 69.48
Real Age: 68.69000244140625, Predicted Age: 67.49
Real Age: 56.689998626708984, Predicted Age: 58.65
