2024-05-13 17:28:08,292 INFO    MainThread:250278 [wandb_setup.py:_flush():76] Current SDK version is 0.17.0
2024-05-13 17:28:08,293 INFO    MainThread:250278 [wandb_setup.py:_flush():76] Configure stats pid to 250278
2024-05-13 17:28:08,293 INFO    MainThread:250278 [wandb_setup.py:_flush():76] Loading settings from /home/usuaris/imatge/joan.manel.cardenas/.config/wandb/settings
2024-05-13 17:28:08,293 INFO    MainThread:250278 [wandb_setup.py:_flush():76] Loading settings from /home/usuaris/imatge/joan.manel.cardenas/age_predictions/wandb/settings
2024-05-13 17:28:08,293 INFO    MainThread:250278 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-05-13 17:28:08,293 INFO    MainThread:250278 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-05-13 17:28:08,293 INFO    MainThread:250278 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': '/home/usuaris/imatge/joan.manel.cardenas/age_predictions/main.py', 'program': '/home/usuaris/imatge/joan.manel.cardenas/age_predictions/main.py'}
2024-05-13 17:28:08,293 INFO    MainThread:250278 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-05-13 17:28:08,293 INFO    MainThread:250278 [wandb_init.py:_log_setup():520] Logging user logs to /home/usuaris/imatge/joan.manel.cardenas/age_predictions/wandb/run-20240513_172808-h0ipwzyi/logs/debug.log
2024-05-13 17:28:08,293 INFO    MainThread:250278 [wandb_init.py:_log_setup():521] Logging internal logs to /home/usuaris/imatge/joan.manel.cardenas/age_predictions/wandb/run-20240513_172808-h0ipwzyi/logs/debug-internal.log
2024-05-13 17:28:08,293 INFO    MainThread:250278 [wandb_init.py:init():560] calling init triggers
2024-05-13 17:28:08,293 INFO    MainThread:250278 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {}
2024-05-13 17:28:08,294 INFO    MainThread:250278 [wandb_init.py:init():610] starting backend
2024-05-13 17:28:08,294 INFO    MainThread:250278 [wandb_init.py:init():614] setting up manager
2024-05-13 17:28:08,303 INFO    MainThread:250278 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-05-13 17:28:08,308 INFO    MainThread:250278 [wandb_init.py:init():622] backend started and connected
2024-05-13 17:28:08,325 INFO    MainThread:250278 [wandb_init.py:init():711] updated telemetry
2024-05-13 17:28:08,338 INFO    MainThread:250278 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-05-13 17:28:08,823 INFO    MainThread:250278 [wandb_run.py:_on_init():2396] communicating current version
2024-05-13 17:28:08,945 INFO    MainThread:250278 [wandb_run.py:_on_init():2405] got version response 
2024-05-13 17:28:08,945 INFO    MainThread:250278 [wandb_init.py:init():795] starting run threads in backend
2024-05-13 17:28:14,134 INFO    MainThread:250278 [wandb_run.py:_console_start():2374] atexit reg
2024-05-13 17:28:14,135 INFO    MainThread:250278 [wandb_run.py:_redirect():2229] redirect: wrap_raw
2024-05-13 17:28:14,135 INFO    MainThread:250278 [wandb_run.py:_redirect():2294] Wrapping output streams.
2024-05-13 17:28:14,135 INFO    MainThread:250278 [wandb_run.py:_redirect():2319] Redirects installed.
2024-05-13 17:28:14,137 INFO    MainThread:250278 [wandb_init.py:init():838] run started, returning control to user process
2024-05-13 17:28:41,256 WARNING MsgRouterThr:250278 [router.py:message_loop():77] message_loop has been closed
